Categories,Headlines
Health,"Former Prime Minister HD Devegowda, wife Chennamma test positive for Covid-19"
Health,"Number of Covid tests has been increased from 25,000 to 70,000 tests per day."
Health,Covid-19: India to decide emergency use authorisation of Sputnik V vaccine today
Health,WHO chief toughens tone on China with lab probe call
Health,"India reports 53,480 new Covid-19 cases, 41,280 discharges, and 354 deaths in the last 24 hours, as per the Union health ministry"
Health,People flout Covid-19 safety norms at Gazipur Fruit and Vegetable Market in Delhi
Health,"Telangana reported 684 new Covid-19 cases, 394 recoveries and 3 were reported on 30th March"
Health,"Mizoram reports five fresh Covid-19 cases, tally rises to 4,473"
Health,Covid-19: Devotees gather in huge number to play 'Kapda Fad' Holi in Mathura
Health,50% Indians have no idea that diabetes is a disease of the Pancreas
Health,2 out of 3 diabetics die from heart diseases or stroke
Health,36% Indians are completely unaware that diabetes is even linked with eye problems
Health,24% diabetics are below the age of 40
Health,Diabetes could be the major risk factor for kidney failure
Health,Positive parenting can stop child obesity epidemic
Health,Health ministry allows restricted retail sale of Tamiflu
Health,Evidence-based policy needed to combat H1N1
Health,BMC will regularise clinics in housing societies
Health,"Woman not allowed to abort malformed foetus, baby dies"
Health,"Pandemic stress, boredom linked to increased smoking"
Health,Former US Surgeon General defends Birx in tweets following CNN special report
Health,"Coronavirus likely spread to people from an animal -- but needs more study, new WHO report says"
Health,Plague in China confirmed as 2 cases of highly-infectious disease treated in Beijing
Health,H1N1: States told to be ready
Health,New medical colleges to be linked to district hospitals
Health,Seven million deaths caused by air pollution in 2012: WHO
Health,Doctors ask Delhi govt to ensure safe workplace
Health,"Housewives more likely to suffer from heart attacks, says study"
Health,Universal screening for gestational diabetes becomes easier
Health,No abortion without consent even if she is mentally retarded: Supreme Court
Health,Pregnant woman dies of swine flu; Pune toll rise to 26
Health,More cases of H1N1 in Kerala
Health,How the colour blind see coloured medication
Health,AIIMS researchers develop device for intravenous drugs
Health,Swine flu down in Southern Hemisphere: WHO
Health,Cardiologists meet to discuss new therapies
Health,Researchers find high-dose therapy for liver disease not effective
Health,Pharmacists cannot administer injections or collect blood samples: High Court
Health,Fighting swine flu: informed public opinion is at work online and off line
Health,Doctors urged to follow norms while issuing disability certificates
Health,152 more test positive for A(H1N1) influenza
Health,Bangaloreans learning to 'live' with swine flu virus
Health,U.N. summit as world cancer toll increases
Health,Hepatitis spreading in Vaikom taluk
Health,Bird flu in two West Bengal villages
Health,India steps up polio surveillance as virus re-emerges in China
Health,Doctors strike in Tamil Nadu to protest killing of colleague
Health,Bangladesh confirms first swine flu death
Health,Medical services to be suspended today
Health,Exercise daily ‘to cut bowel cancer risk’
Health,5 more babies die in Kolkata hospital
Health,Medical services likely to be hit badly
Health,Nurses to strike work at Lakeshore
Health,"Quality healthcare, given with a heart"
Health,Anger worsens anxiety disorders
Health,Fish oil helps heal bedsores of critically ill patients
Health,Early to bed lowers BP in six weeks: study
Health,Eating tomatoes could ward off depression: study
Health,Zero in on glaucoma-causing genes
Health,Collaborative research in lung disease and tuberculosis gets a leg up with 120 researchers from five continents completing their training
Health,MBBS rank list released
Health,3 more involved in kidney racket arrested
Health,Swine flu toll rises to 102
Health,MBBS student commits suicide at AIIMS
Health,"Stigma, myths continue to weigh down HIV-infected"
Health,A vaccination programme just for senior citizens
Health,"It’s not lead poisoning, say doctors"
Health,Teenage girls in rural areas have defeated anaemia
Health,Disabled children must have say in schemes: UNICEF
Health,"Consuming too much salt may not be good for your health, but sea salt is the next big thing in skincare, writes Geeta Padmanabhan"
Health,Drugs board wants ban on diabetes drug revoked
Health,Treat children with special needs separately for admissions: Court
Health,Doctors need not report for poll duty training
Health,Death of youth at hospital: autopsy conducted
Health,AIIMS director names to be shortlisted this week
Health,"10 medical, dental students booked for ragging in Sullia"
Health,"Physician assistants can be trained to run clinics in rural India, says expert"
Health,Anti abortion movement is winning: US Vice-President
Health,Medical board fails to make any conclusion in report on Sunanda’s death
Health,Orthopaedics’ meet dwells on accident complications
Health,Govt hospitals to display rules for biomedical waste management
Health,NIMHANS conducts workshop to help early detection of depression among youngsters
Health,Health insurance scheme
Health,Hospitals see spike in flu among kids
Health,‘India’s refusal to scale up bedaquiline is really the world’s problem’
Health,Health-care data is ailing
Health,"Unlike in its successful battle against malaria, the country has a peculiar challenge as it tries combating this disease — establishing a cause"
Health,Attacks on doctors condemned
Health,"Medical audits will check stent prices, say activists"
Health,International cancer conclave in Hyderabad from Feb.2
Health,Cancer R&D and cost cutting
Health,13 nursing students injured in accident
Health,Explore medical applications of virtual reality
Health,Health trade licence simplified
Health,Pharmaceuticals to be exclusive Ministry soon
Health,Heart attacks claim more women than men in hospital setting
Health,"Patients under dialysis must beware of diabetes, hypertension"
Health,India should show leadership in TB research
Health,Coronavirus | U.K. PM Boris Johnson announces nationwide lockdown
Health,Coronavirus vaccine | No EU decision on Moderna shot as blame game mounts
Health,Orial Imara unveils nano soaps to fight COVID-19
Health,"71 people in India affected by virus variant, says health official"
Health,"Pfizer skipped COVID-19 regulator thrice, says Ministry of Health"
Health,Pune command centre to track vaccine movement across 41 key locations
Health,Ready to roll out COVID-19 vaccine within 10 days of emergency use authorisation: Government
Health,Medical college dream yet to materialise
Health,Bird flu confirmed in dead birds in Kangra
Health,4-year-old boy drowns at home
Health,Nurses seek transfer from Corporation
Health,"Eye hospital in Chennai helps needy during pandemic, distributes relief materials"
Health,Second round of medical counselling begins
Health,MP seeks recruitment of more nurses to Jipmer
Health,Two more deaths push Union Territory’s toll to 635
Health,BioNTech says no data to support delayed vaccine booster shot
Health,"Maharashtra sees spike in cases; active cases cross 45,000 again"
Health,"Top news of the day: PM says country pained at dishonour to Tricolour on Republic Day; number of active COVID-19 cases in India drops to 1.68 lakh, and more"
Health,WHO teams visits Wuhan food market in search of virus clues
Health,"India records 13,052 new COVID-19 cases, 127 fatalities"
Health,"The patriarch of the sibling piano group 5 browns was sentenced to 10 years to life in prison by a judge in provo, utah for sexually abusing his daughters when they were children, a report said on thursday."
Health,"A centuries-old intimacy between doctor and patient is being lost, and patients who visit the doctor are increasingly kept guessing about who will appear in the white coat."
Health,"legal spat over campbell soup still simmering aker, over whether its purported ""low-sodium"" tomato soup really has less sodium."
Health,how do you slim down for summer? we'd like to know the keys to your success to share with other readers.
Health,3 more test positive for U.K. variant of COVID-19
